Rank,Player,Rushing Attempts,Rushing Yds, Rushing Avg,Rushing TD,Receiving Rec,Receiving Yds,Receiving Avg, Receiving TD, Scrimmage Plays, Scrimmage Yds, Scrimmage Avg, Scrimmage TD
1,Elijah Hood,218,1463,6.7,17,13,71,5.5,0,231,1534,6.6,17
2,Marquise Williams,158,948,6.0,13,1,37,37.0,1,159,985,6.2,14
3,T.J. Logan,66,400,6.1,5,11,151,13.7,1,77,551,7.2,6
4,Tyson Williams,19,57,3.0,0,1,0,0.0,0,20,57,2.9,0
5,Mitch Trubisky,16,101,6.3,3,,,,,16,101,6.3,3
6,Khris Francis,11,37,3.4,0,,,,,11,37,3.4,0
7,Romar Morris,10,64,6.4,1,9,54,6.0,0,19,118,6.2,1
8,Charles Brunson,9,25,2.8,1,1,0,0.0,0,10,25,2.5,1
9,Caleb Henderson,5,53,10.6,0,,,,,5,53,10.6,0
10,Ryan Switzer,4,10,2.5,0,54,693,12.8,6,58,703,12.1,6
11,Austin Proehl,1,4,4.0,0,12,225,18.8,1,13,229,17.6,1
12,Quinshad Davis,,,,,55,638,11.6,4,55,638,11.6,4
13,Mack Hollins,,,,,30,745,24.8,8,30,745,24.8,8
14,Bug Howard,,,,,29,488,16.8,4,29,488,16.8,4
15,Brandon Fritts,,,,,16,203,12.7,4,16,203,12.7,4
16,Kendrick Singleton,,,,,12,142,11.8,2,12,142,11.8,2
17,Damien Washington,,,,,8,115,14.4,0,8,115,14.4,0
18,Jordan Fieulleteau,,,,,6,100,16.7,0,6,100,16.7,0
19,Dalton Stogner,,,,,2,9,4.5,0,2,9,4.5,0
